Domain,Country,Element,Item,Year,Unit,Value
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beans,1993,kg,5.73
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beans,1994,kg,5.95
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beans,1995,kg,5.86
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beans,1996,kg,6.35
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beans,1997,kg,6.48
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beans,1998,kg,7.12
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beans,1999,kg,6.83
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beans,2000,kg,6.96
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beer,1992,kg,5.53
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beer,1993,kg,4.53
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beer,1994,kg,4.28
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beer,1995,kg,4.53
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beer,1996,kg,4.47
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beer,1997,kg,4.33
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beer,1998,kg,4.52
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beer,1999,kg,4.48
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beer,2000,kg,4.31
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Alcoholic",1992,kg,0.49
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Alcoholic",1993,kg,0.48
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Alcoholic",1994,kg,0.54
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Alcoholic",1995,kg,0.59
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Alcoholic",1996,kg,0.56
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Alcoholic",1997,kg,0.63
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Alcoholic",1998,kg,0.6
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Alcoholic",1999,kg,0.61
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Alcoholic",2000,kg,0.59
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Fermented",1992,kg,30.41
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Fermented",1993,kg,29.57
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Fermented",1994,kg,30.08
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Fermented",1995,kg,30.2
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Fermented",1996,kg,28.45
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Fermented",1997,kg,31.43
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Fermented",1998,kg,30.52
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Fermented",1999,kg,29.28
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Beverages, Fermented",2000,kg,27.65
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cassava and products,1992,kg,77.7
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cassava and products,1993,kg,79.09
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cassava and products,1994,kg,75.48
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cassava and products,1995,kg,70.11
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cassava and products,1996,kg,72.42
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cassava and products,1997,kg,70.38
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cassava and products,1998,kg,70.7
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cassava and products,1999,kg,71.54
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cassava and products,2000,kg,72.32
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Cereals, Other",1992,kg,6.76
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Cereals, Other",1993,kg,6.21
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Cereals, Other",1994,kg,6.6
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Cereals, Other",1995,kg,6.38
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Cereals, Other",1996,kg,6.79
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Cereals, Other",1997,kg,7.3
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Cereals, Other",1998,kg,7.14
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Cereals, Other",1999,kg,7.08
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Cereals, Other",2000,kg,7.1
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Citrus, Other",1992,kg,0.75
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Citrus, Other",1993,kg,0.95
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Citrus, Other",1994,kg,0.93
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Citrus, Other",1995,kg,0.91
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Citrus, Other",1996,kg,0.79
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Citrus, Other",1997,kg,0.77
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Citrus, Other",1998,kg,0.76
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Citrus, Other",1999,kg,0.78
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Citrus, Other",2000,kg,0.71
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cloves,1992,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cloves,1993,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cloves,1994,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cloves,1995,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cloves,1996,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cloves,1997,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cloves,1998,kg,0.02
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cloves,1999,kg,0.03
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cloves,2000,kg,0.04
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cocoa Beans and products,1992,kg,0.02
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cocoa Beans and products,1993,kg,0.02
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cocoa Beans and products,1994,kg,0.03
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cocoa Beans and products,1995,kg,0.03
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cocoa Beans and products,1996,kg,0.03
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cocoa Beans and products,1997,kg,0.04
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cocoa Beans and products,1998,kg,0.04
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cocoa Beans and products,1999,kg,0.04
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cocoa Beans and products,2000,kg,0.03
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconut Oil,1992,kg,0.34
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconut Oil,1993,kg,0.37
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconut Oil,1994,kg,0.34
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconut Oil,1995,kg,0.37
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconut Oil,1996,kg,0.33
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconut Oil,1997,kg,0.34
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconut Oil,1998,kg,0.32
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconut Oil,1999,kg,0.29
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconut Oil,2000,kg,0.28
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconuts - Incl Copra,1992,kg,1.51
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconuts - Incl Copra,1993,kg,1.0
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconuts - Incl Copra,1994,kg,0.96
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconuts - Incl Copra,1995,kg,0.97
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconuts - Incl Copra,1996,kg,0.92
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconuts - Incl Copra,1997,kg,0.88
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconuts - Incl Copra,1998,kg,0.83
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconuts - Incl Copra,1999,kg,0.93
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coconuts - Incl Copra,2000,kg,0.87
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coffee and products,1992,kg,0.55
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coffee and products,1993,kg,0.58
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coffee and products,1994,kg,0.57
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coffee and products,1995,kg,0.55
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coffee and products,1996,kg,0.53
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coffee and products,1997,kg,0.57
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coffee and products,1998,kg,0.49
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coffee and products,1999,kg,0.58
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Coffee and products,2000,kg,0.59
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cottonseed Oil,1992,kg,0.28
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cottonseed Oil,1993,kg,0.31
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cottonseed Oil,1994,kg,0.3
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cottonseed Oil,1995,kg,0.32
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cottonseed Oil,1996,kg,0.35
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cottonseed Oil,1997,kg,0.33
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cottonseed Oil,1998,kg,0.28
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cottonseed Oil,1999,kg,0.33
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cottonseed Oil,2000,kg,0.26
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Dates,1992,kg,0.02
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Dates,1993,kg,0.02
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Dates,1994,kg,0.02
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Dates,1995,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Dates,1996,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Dates,1997,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Dates,1998,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Dates,1999,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Dates,2000,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fruits, Other",1992,kg,8.31
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fruits, Other",1993,kg,8.67
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fruits, Other",1994,kg,8.1
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fruits, Other",1995,kg,8.03
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fruits, Other",1996,kg,8.19
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fruits, Other",1997,kg,7.91
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fruits, Other",1998,kg,8.31
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fruits, Other",1999,kg,8.18
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fruits, Other",2000,kg,8.0
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapefruit and products,1992,kg,0.13
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapefruit and products,1993,kg,0.15
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapefruit and products,1994,kg,0.14
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapefruit and products,1995,kg,0.14
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapefruit and products,1996,kg,0.14
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapefruit and products,1997,kg,0.14
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapefruit and products,1998,kg,0.15
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapefruit and products,1999,kg,0.14
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapefruit and products,2000,kg,0.12
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapes and products (excl wine),1992,kg,0.11
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapes and products (excl wine),1993,kg,0.12
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapes and products (excl wine),1994,kg,0.11
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapes and products (excl wine),1995,kg,0.12
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapes and products (excl wine),1996,kg,0.11
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapes and products (excl wine),1997,kg,0.12
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapes and products (excl wine),1998,kg,0.1
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapes and products (excl wine),1999,kg,0.09
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Grapes and products (excl wine),2000,kg,0.1
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnut Oil,1992,kg,0.26
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnut Oil,1993,kg,0.23
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnut Oil,1994,kg,0.21
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnut Oil,1995,kg,0.21
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnut Oil,1996,kg,0.23
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnut Oil,1997,kg,0.24
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnut Oil,1998,kg,0.27
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnut Oil,1999,kg,0.28
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnut Oil,2000,kg,0.25
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (in Shell Eq),1992,kg,1.41
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (in Shell Eq),1993,kg,1.5
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (in Shell Eq),1994,kg,1.37
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (in Shell Eq),1995,kg,1.36
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (in Shell Eq),1996,kg,1.33
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (in Shell Eq),1997,kg,1.38
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (in Shell Eq),1998,kg,1.44
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (in Shell Eq),1999,kg,1.52
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (in Shell Eq),2000,kg,1.41
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (Shelled Eq),1992,kg,0.96
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (Shelled Eq),1993,kg,1.03
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (Shelled Eq),1994,kg,0.93
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (Shelled Eq),1995,kg,0.92
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (Shelled Eq),1996,kg,0.91
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (Shelled Eq),1997,kg,0.94
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (Shelled Eq),1998,kg,0.99
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (Shelled Eq),1999,kg,1.04
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Groundnuts (Shelled Eq),2000,kg,0.97
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Infant food,1992,kg,0.08
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Infant food,1993,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Infant food,1994,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Infant food,1995,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Infant food,1996,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Infant food,1997,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Infant food,1998,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Infant food,1999,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Infant food,2000,kg,0.01
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Lemons, Limes and products",1992,kg,0.15
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Lemons, Limes and products",1993,kg,0.15
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Lemons, Limes and products",1994,kg,0.15
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Lemons, Limes and products",1995,kg,0.15
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Lemons, Limes and products",1996,kg,0.14
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Lemons, Limes and products",1997,kg,0.14
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Lemons, Limes and products",1998,kg,0.13
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Lemons, Limes and products",1999,kg,0.13
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Lemons, Limes and products",2000,kg,0.13
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Maize and products,1992,kg,56.67
