Domain,Country,Element,Item,Year,Unit,Value
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bovine Meat,1999,kg,5.57
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bovine Meat,2000,kg,5.25
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Butter, Ghee",1992,kg,0.13
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Butter, Ghee",1993,kg,0.13
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Butter, Ghee",1994,kg,0.13
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Butter, Ghee",1995,kg,0.13
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Butter, Ghee",1996,kg,0.11
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Butter, Ghee",1997,kg,0.12
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Butter, Ghee",1998,kg,0.13
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Butter, Ghee",1999,kg,0.12
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Butter, Ghee",2000,kg,0.13
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cephalopods,1992,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cephalopods,1993,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cephalopods,1994,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cephalopods,1995,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cephalopods,1996,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cephalopods,1997,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cephalopods,1998,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cephalopods,1999,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cephalopods,2000,kg,0.02
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cheese,1992,kg,0.06
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cheese,1993,kg,0.06
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cheese,1994,kg,0.07
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cheese,1995,kg,0.06
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cheese,1996,kg,0.06
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cheese,1997,kg,0.06
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cheese,1998,kg,0.06
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cheese,1999,kg,0.06
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cheese,2000,kg,0.07
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cream,1992,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cream,1993,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cream,1994,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cream,1995,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cream,1996,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cream,1997,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cream,1998,kg,0.02
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cream,1999,kg,0.02
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Cream,2000,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Crustaceans,1992,kg,0.05
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Crustaceans,1993,kg,0.04
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Crustaceans,1994,kg,0.05
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Crustaceans,1995,kg,0.05
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Crustaceans,1996,kg,0.05
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Crustaceans,1997,kg,0.07
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Crustaceans,1998,kg,0.08
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Crustaceans,1999,kg,0.08
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Crustaceans,2000,kg,0.1
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Demersal Fish,1992,kg,0.24
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Demersal Fish,1993,kg,0.17
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Demersal Fish,1994,kg,0.17
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Demersal Fish,1995,kg,0.18
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Demersal Fish,1996,kg,0.2
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Demersal Fish,1997,kg,0.19
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Demersal Fish,1998,kg,0.17
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Demersal Fish,1999,kg,0.17
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Demersal Fish,2000,kg,0.2
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Eggs,1992,kg,1.13
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Eggs,1993,kg,0.92
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Eggs,1994,kg,0.91
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Eggs,1995,kg,0.94
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Eggs,1996,kg,0.94
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Eggs,1997,kg,0.96
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Eggs,1998,kg,0.94
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Eggs,1999,kg,0.95
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Eggs,2000,kg,0.93
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1992,kg,0.58
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1993,kg,0.62
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1994,kg,0.54
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1995,kg,0.52
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1996,kg,0.46
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1997,kg,0.41
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1998,kg,0.47
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1999,kg,0.42
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",2000,kg,0.39
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1992,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1993,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1994,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1995,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1996,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1997,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1998,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1999,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Body Oil",2000,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1992,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1993,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1994,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1995,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1996,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1997,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1998,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1999,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",2000,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Freshwater Fish,1992,kg,4.45
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Freshwater Fish,1993,kg,4.35
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Freshwater Fish,1994,kg,4.03
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Freshwater Fish,1995,kg,4.07
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Freshwater Fish,1996,kg,3.56
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Freshwater Fish,1997,kg,3.77
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Freshwater Fish,1998,kg,3.54
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Freshwater Fish,1999,kg,3.52
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Freshwater Fish,2000,kg,3.32
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Hides and skins,1992,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Hides and skins,1993,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Hides and skins,1994,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Hides and skins,1995,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Hides and skins,1996,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Hides and skins,1997,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Hides and skins,1998,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Hides and skins,1999,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Hides and skins,2000,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Honey,1992,kg,0.38
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Honey,1993,kg,0.39
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Honey,1994,kg,0.39
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Honey,1995,kg,0.39
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Honey,1996,kg,0.38
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Honey,1997,kg,0.38
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Honey,1998,kg,0.37
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Honey,1999,kg,0.37
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Honey,2000,kg,0.36
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1992,kg,0.37
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1993,kg,0.38
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1994,kg,0.28
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1995,kg,0.26
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1996,kg,0.28
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1997,kg,0.32
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1998,kg,0.23
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1999,kg,0.23
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Marine Fish, Other",2000,kg,0.27
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Meat, Other",1992,kg,1.3
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Meat, Other",1993,kg,0.92
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Meat, Other",1994,kg,0.92
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Meat, Other",1995,kg,0.91
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Meat, Other",1996,kg,0.92
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Meat, Other",1997,kg,0.91
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Meat, Other",1998,kg,0.91
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Meat, Other",1999,kg,0.92
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Meat, Other",2000,kg,0.89
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1992,kg,29.12
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1993,kg,28.07
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1994,kg,27.12
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1995,kg,26.8
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1996,kg,26.63
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1997,kg,27.06
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1998,kg,27.22
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1999,kg,27.77
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,2000,kg,26.81
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Milk, Whole",1992,kg,35.53
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Milk, Whole",1993,kg,31.43
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Milk, Whole",1994,kg,31.02
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Milk, Whole",1995,kg,30.83
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Milk, Whole",1996,kg,30.74
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Milk, Whole",1997,kg,31.02
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Milk, Whole",1998,kg,30.82
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Milk, Whole",1999,kg,31.14
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Milk, Whole",2000,kg,29.91
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Molluscs, Other",1992,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Molluscs, Other",1993,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Molluscs, Other",1994,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Molluscs, Other",1995,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Molluscs, Other",1996,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Molluscs, Other",1997,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Molluscs, Other",1998,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Molluscs, Other",1999,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Molluscs, Other",2000,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1992,kg,1.67
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1993,kg,1.23
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1994,kg,1.21
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1995,kg,1.19
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1996,kg,1.17
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1997,kg,1.15
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1998,kg,1.12
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1999,kg,1.17
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2000,kg,1.15
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Offals, Edible",1992,kg,1.59
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Offals, Edible",1993,kg,1.42
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Offals, Edible",1994,kg,1.39
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Offals, Edible",1995,kg,1.42
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Offals, Edible",1996,kg,1.36
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Offals, Edible",1997,kg,1.35
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Offals, Edible",1998,kg,1.4
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Offals, Edible",1999,kg,1.44
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Offals, Edible",2000,kg,1.42
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Pelagic Fish,1992,kg,0.26
